team_model,phase,ok,message
UChicago-CovidIL_80,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL_80.yml
UChicago-CovidIL,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL.yml
UChicagoCHATTOPADHYAY-UnIT,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicagoCHATTOPADHYAY-UnIT.yml
UCLA-SuEIR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UCLA-SuEIR.yml
UCM_MESALab-FoGSEIR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UCM_MESALab-FoGSEIR.yml
UCSB-ACTS,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UCSB-ACTS.yml
UCSD_NEU-DeepGLEAM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UCSD_NEU-DeepGLEAM.yml
UMass-ExpertCrowd,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UMass-ExpertCrowd.yml
UMass-gbq,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UMass-gbq.yml
UMass-MechBayes,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UMass-MechBayes.yml
UMass-sarix,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UMass-sarix.yml
UMass-trends_ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UMass-trends_ensemble.yml
UMich-RidgeTfReg,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UMich-RidgeTfReg.yml
UpstateSU-GRU,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UpstateSU-GRU.yml
USACE-ERDC_SEIR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/USACE-ERDC_SEIR.yml
USC-SI_kJalpha_RF,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/USC-SI_kJalpha_RF.yml
USC-SI_kJalpha,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/USC-SI_kJalpha.yml
USF-STPM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/USF-STPM.yml
UT_GISAG-SPDM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UT_GISAG-SPDM.yml
UT-Mobility,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UT-Mobility.yml
UT-Osiris,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UT-Osiris.yml
UVA-Ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UVA-Ensemble.yml
Wadhwani_AI-BayesOpt,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Wadhwani_AI-BayesOpt.yml
WalmartLabsML-LogForecasting,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/WalmartLabsML-LogForecasting.yml
Yu_Group-CLEP,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Yu_Group-CLEP.yml
YYG-ParamSearch,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/YYG-ParamSearch.yml
